Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
6.945,8.293333333333333,8.612380952380953,9.4764,5.357647058823529,9.73,9.695,6.929375,8.346190476190477,9.714444444444444
6.510000000000001,8.293333333333333,8.604761904761904,9.4176,5.341176470588235,9.690000000000001,9.695,6.924375,8.379285714285714,9.714444444444444
6.48,8.293333333333333,8.713809523809525,9.373199999999999,5.406470588235294,9.620000000000001,9.695,6.97875,8.394285714285715,9.703333333333333
6.508333333333333,8.293333333333333,8.653333333333332,9.3552,5.437647058823529,9.620000000000001,9.695,6.88875,8.37095238095238,9.703333333333333
6.435,8.293333333333333,8.642380952380952,9.4444,5.324705882352941,9.620000000000001,9.695,6.8931249999999995,8.39,9.703333333333333
6.216666666666668,8.303333333333333,8.655238095238095,9.4064,5.319411764705883,9.620000000000001,9.4875,6.911875,8.376190476190477,9.703333333333333
6.211666666666667,8.303333333333333,8.728571428571428,9.2636,5.175882352941176,9.620000000000001,9.6675,6.925625,8.422619047619047,9.656666666666666
6.2,8.303333333333333,8.77095238095238,9.2272,5.171176470588235,9.725,9.435,7.00125,8.439761904761903,9.702777777777778
6.193333333333334,8.293333333333333,8.770476190476192,9.2964,5.221176470588236,9.79,9.285,7.030625,8.440238095238096,9.697777777777778
6.03,8.293333333333333,8.727142857142857,9.276,5.276470588235294,9.79,9.2375,6.9675,8.343333333333334,9.602777777777778
6.026666666666666,8.256666666666666,8.710952380952381,9.2536,5.251176470588235,9.79,9.2225,7.0649999999999995,8.501666666666667,9.500555555555556
5.851666666666667,8.256666666666666,8.799047619047618,9.4344,5.25,9.79,9.2225,7.1743749999999995,8.585238095238095,9.684444444444445
5.825,8.105,8.707142857142857,9.4676,5.293529411764706,9.815000000000001,9.2775,7.129375,8.507857142857143,9.592222222222222
5.69,8.055,8.608095238095238,9.370800000000001,5.024117647058823,9.844999999999999,9.3275,7.07,8.24595238095238,9.586111111111112
5.72,8.028333333333334,8.491428571428571,9.1912,4.841764705882353,9.844999999999999,9.14,7.004375,8.247380952380952,9.524444444444445
5.513333333333333,8.005,8.454761904761906,9.0512,4.764705882352941,9.835,9.425,6.878125,8.153095238095238,9.509444444444444
5.483333333333333,7.951666666666667,8.546190476190477,9.1508,4.696470588235294,9.719999999999999,9.4275,6.87375,8.191428571428572,9.507777777777777
5.466666666666666,8.083333333333334,8.444761904761904,9.3016,4.588823529411765,9.665,9.594999999999999,6.715625,8.081428571428571,9.487222222222222
5.808333333333334,8.101666666666667,8.441428571428572,9.2196,4.695294117647059,9.57,9.575,6.838125,8.15404761904762,9.473888888888888
5.866666666666667,8.020000000000001,8.402857142857144,9.094,4.765882352941176,9.57,9.52,6.78875,8.149047619047618,9.413333333333334
5.855,7.853333333333334,8.336190476190476,9.0972,4.780588235294117,9.57,9.52,6.725,8.218333333333334,9.395000000000001
5.783333333333334,7.728333333333334,8.380476190476191,9.1176,4.654117647058824,9.57,9.52,6.53625,8.197619047619048,9.413333333333334
5.718333333333334,7.646666666666667,8.262857142857143,9.093200000000001,4.698235294117647,9.53,9.504999999999999,6.573125,8.155,9.408333333333333
