Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
6.526666666666667,8.19,8.24,7.926800000000001,5.347647058823529,9.265,8.7025,6.275625,6.363333333333333,9.403333333333332
6.5183333333333335,8.206666666666665,8.208095238095238,7.9364,5.365882352941177,9.125,8.7625,6.29375,6.393809523809525,9.402777777777779
6.555,8.18,8.25095238095238,7.8952,5.391764705882353,9.195,8.8,6.376875,6.3964285714285705,9.413888888888888
6.6000000000000005,8.18,8.286190476190475,7.8948,5.359411764705882,9.254999999999999,8.7975,6.325,6.480952380952381,9.411111111111111
6.575,8.181666666666667,8.312380952380952,7.9079999999999995,5.391176470588236,9.23,8.8525,6.3175,6.535714285714286,9.397777777777778
6.521666666666667,8.188333333333334,8.30904761904762,7.8836,5.378235294117648,9.265,8.8225,6.259375,6.564047619047619,9.41
6.486666666666667,8.248333333333333,8.357142857142858,7.8836,5.385882352941176,9.265,8.675,6.29625,6.57,9.40388888888889
6.458333333333333,8.238333333333333,8.387142857142857,7.8924,5.353529411764706,9.274999999999999,8.58,6.290625,6.577857142857143,9.406666666666666
6.364999999999999,8.193333333333333,8.365238095238096,7.8648,5.347058823529412,9.305,8.5025,6.299375,6.5754761904761905,9.410555555555554
6.183333333333334,8.218333333333334,8.371904761904762,7.8260000000000005,5.337058823529412,9.29,8.467500000000001,6.3025,6.498095238095239,9.406666666666666
6.358333333333333,8.225,8.385714285714286,7.8444,5.385882352941176,9.329999999999998,8.4875,6.405,6.601666666666667,9.394444444444444
6.29,8.229999999999999,8.352380952380953,7.840800000000001,5.251764705882353,9.329999999999998,8.4925,6.46125,6.624761904761905,9.410555555555554
6.303333333333334,8.206666666666665,8.292857142857143,7.816,5.241764705882353,9.29,8.49,6.37375,6.572142857142857,9.408888888888889
6.3500000000000005,8.166666666666666,8.271904761904763,7.7516,5.107058823529411,9.34,8.5275,6.33375,6.546904761904763,9.415
6.415,8.126666666666667,8.245238095238095,7.744800000000001,4.973529411764706,9.395,8.585,6.269375,6.525,9.415555555555555
6.385000000000001,8.076666666666666,8.22,7.702000000000001,4.864705882352942,9.375,8.6525,6.249375,6.483809523809524,9.39111111111111
6.423333333333333,8.071666666666667,8.245714285714286,7.6975999999999996,4.832352941176471,9.315000000000001,8.67,6.25125,6.492380952380953,9.38888888888889
6.515000000000001,8.17,8.232857142857144,7.7768,4.815882352941177,9.265,8.755,6.251875,6.519761904761904,9.352222222222222
6.581666666666667,8.139999999999999,8.185238095238097,7.752000000000001,4.832352941176471,9.28,8.807500000000001,6.284375,6.536904761904762,9.34388888888889
6.640000000000001,8.063333333333333,8.193333333333333,7.6908,4.84235294117647,9.27,8.6975,6.276875,6.560238095238095,9.328888888888889
6.468333333333334,7.734999999999999,7.895714285714286,7.3312,4.709411764705883,8.705,8.379999999999999,6.110625,6.364761904761904,8.966666666666667
6.406666666666666,7.614999999999999,7.8914285714285715,7.2951999999999995,4.660588235294118,8.735,8.35,5.97125,6.312857142857142,8.96
6.418333333333333,7.7749999999999995,8.092380952380953,7.5988,4.727647058823529,9.16,8.7475,6.104375,6.455238095238095,9.321666666666665
