East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
6.616582192486222,6.306372210246276,7.53094908472729,6.037416239301425,6.978550150053726,6.410787310582095,7.098979065895976,6.60311374408666,5.899104828366742
6.532069402212149,6.397851964126228,7.499616297189558,6.054020665316784,7.0644398483577415,6.301741516013395,7.286226564487711,6.613300949973495,5.877043657992013
6.651144371723771,6.466402207098205,7.514413851066269,6.107237883055722,7.1976877423860754,6.302906271516703,7.332154600098243,6.67111368795207,5.7754215412387655
6.704582575535403,6.3570404626351635,7.480974952271875,6.122953588734579,7.299141486843566,6.28579580829988,7.366323335581949,6.777373710977606,5.787684808396269
6.690235466206943,6.58626548285761,7.617964298755146,5.999003500529871,7.419853665543197,6.383123062437881,7.253337361754987,6.632348930072402,5.89151534292511
6.829459235935039,6.626597260902171,7.755237957552006,6.298288654938309,7.414651735636397,6.762140210378527,7.523431146538283,6.846518492790954,5.987001258300965
6.894351318332158,6.631371791366407,7.633528888198367,6.231906660841866,7.397436444391591,6.83805543341014,7.547957237830349,6.930200354183115,6.063073869137159
6.945904458225987,6.751886095099537,7.62210907910291,6.566149508457518,7.271647175706592,6.823156649322957,7.4663689394716934,7.0251561142886905,6.095998126583989
6.90498032954091,6.724203935803879,7.612294730820944,6.366938106162873,6.945439321377245,6.965464613229571,7.496991762999627,7.005250020356435,5.954923127972531
6.676251639988391,6.417031065353371,7.369882385499421,6.134915881195548,6.57428569587379,6.775879733598252,7.40145132894109,7.015312328756714,5.617731761527595
6.816109622167164,6.445809657993325,7.355681893735542,6.217318282012648,6.761054239047821,6.658734958529343,7.616654123590107,6.954598188857118,5.599590956309955
6.920893170517073,6.549996769153319,7.384961693915452,6.23012144686144,6.931064920668177,6.924231471172844,7.697858961318338,6.854506891052223,5.720840838513454
6.899039453764393,6.580253818395093,7.372219591652151,6.201632416897534,7.054150107093559,6.759469491001884,7.746589660947311,6.879035057220237,5.71181291616863
6.859629765689566,6.461163511617668,7.341081978409378,6.270683615745343,6.932877655407335,6.561670308254538,7.809586015140943,6.887467612858182,5.7605758597361065
6.868085535669588,6.411221166942403,7.448386199723385,6.193380124164435,7.10965388082666,6.177869873851959,7.836630423779957,6.76116944905616,5.768300181950863
6.778087031702908,6.3440399183371134,7.538409034899271,6.126339421410858,6.87483854952473,6.29656153267274,7.756249717199514,6.7752928147822775,5.794832570240303
6.763513937932691,6.614993352868252,7.421199084596401,6.1330252115904225,6.968161672417035,6.264664083235174,7.825021416532673,6.899034068410104,5.823136201086528
6.7767356433985695,6.570971380338843,7.345628669674637,6.047857590427151,7.007911816499744,6.2651267874964525,7.797404842668422,6.90350613472134,5.844644631370269
6.75747272460441,6.497509008079913,7.369554985366446,6.035138817853079,6.996877338225092,6.288512655603853,7.7755643770124445,6.996850393737935,5.832989067822998
6.662876928253313,6.547909225951961,7.375195468328445,6.019440107420299,6.821339500377808,6.400825499635202,7.7784162418818,7.070199532039143,5.812325648061223
6.5660027478778575,6.188968513154581,7.243075829090075,5.978727443006117,6.30426483943177,6.183101543950982,7.702870475081506,6.9431739186453685,5.4429709972090565
