East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
6.856617747267549,6.499305441594534,6.687175963714682,6.186079478210706,8.470741839565626,7.984859798623042,6.3236455068731825,5.923949512655417,7.572147138632352
6.564246528045528,6.367861322977358,6.259077854923633,6.23221804401933,8.211285082211162,7.886302104373165,6.025630440758554,5.98824667269097,7.275503692131788
6.740828472113256,6.729379129060244,6.444902203397578,6.352366516438893,8.60798027186187,8.090552011854223,6.333855159521878,6.049616030099146,7.522408913663862
6.784910014839835,6.814586532281182,6.4510282537595165,6.485666491618952,8.520230997166053,8.114524406584058,6.3620430478589505,6.101256219001339,7.523040989971381
6.919172905897876,6.949092212431738,6.673530861860359,6.434993852649677,8.791144950497424,8.28906051302528,6.457989111881304,6.0930131146614395,7.689671488852714
7.2574691719010005,6.9426480613711865,6.699611915009589,6.4463906569087905,8.725035866725063,8.610371578276,6.610420986686387,6.271424339901506,7.670674864055897
7.366392842894607,7.000472415154329,6.83855059456763,6.715170319100486,8.772765861908056,8.45049881045783,6.6562111984849475,6.397096570593914,7.546730762139912
7.334303799269509,7.135176617388188,6.858373090429959,6.773223865289202,8.826333460058969,8.351082421270657,6.658333800502455,6.237885284535727,7.553458903923525
7.283702353157947,7.09432763591734,6.790723876418026,6.768843268723885,8.70629332257887,8.393593523894708,6.572077474625801,6.290716170408593,7.392467287739795
7.40444225510049,7.056434967277803,6.883322889913278,6.800195041734624,8.48073275037235,8.355284243049613,6.662264667067429,6.4905634203314095,7.340170342950561
7.574659466825072,7.213136257502994,6.852651497999406,6.845279918547055,8.55266987488007,8.355172303077588,6.904625581313939,6.492847289776763,7.589280860293062
7.534859047594874,7.368887072036401,6.869721658503952,6.720471119942183,8.579759434608977,8.391331243914774,6.938578945305273,6.474686936822391,7.777455163133315
7.638411929189135,7.5093475394054074,6.771946650512077,6.71684947261865,8.707722399559671,8.458238341056704,6.955950631373366,6.413948729351434,7.811133279255693
7.63527933703943,7.481367590340289,6.679716253000847,6.693961146575215,8.794856013737501,7.794963408195449,7.066304128583525,6.270335418620175,7.808855706446487
7.659202310143253,7.619873223932443,6.669563270111826,6.728386724049865,8.74585237499253,8.181711611090758,7.041620140003303,6.4301008517814555,7.8411979494065145
7.7301344301444175,7.563285986887999,6.595750776496821,6.578918393458954,8.779393593370383,8.197332302528968,7.0354004745491405,6.4762676160293005,7.950171376793429
7.817264012464806,7.544234736781468,6.574577303549225,6.532400569108374,8.809860934412832,8.19876679783032,7.107084871729334,6.542388985495822,7.940489666117243
7.838190730377991,7.593432524617095,6.5135935673601955,6.235349427947953,8.937403924568779,8.522861578423775,6.897854875953087,6.391582202080284,8.030115653662953
7.945429296096732,7.638285320537835,6.500767151776347,6.489589117728997,8.755242215487716,7.811326137397155,7.089599411185708,6.432906469332206,7.973833156031969
7.879229533408738,7.633460815935108,6.551706010205325,6.601799435382497,8.652945779686632,7.811475111569141,7.036258214293294,6.44009496625538,7.980764748512881
7.647098809700813,7.220275647402894,6.488184436165531,6.579911420547598,8.033414929639253,8.014649972220802,6.957290051055083,6.536851777276931,7.60185576921617
