East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
7.312703703703704,8.681234085648148,8.512653703703704,4.115276887464388,9.646354166666665,8.61956597222222,6.697049663299665,7.020974616858238,9.46849537037037
7.321078703703703,8.645826099537038,8.509387037037037,4.155389066951567,9.518854166666666,8.616493055555555,6.583463804713805,7.06897030651341,9.46457175925926
7.341078703703704,8.677223668981481,8.470489814814814,4.290875178062678,9.419791666666665,8.595868055555556,6.531582491582492,7.086149425287356,9.471203703703702
7.341078703703704,8.66001880787037,8.549667592592591,4.3114681267806265,9.419791666666665,8.595868055555556,6.6043728956228955,7.135622605363985,9.46513888888889
7.341078703703704,8.69277488425926,8.598598148148149,4.299993767806268,9.419791666666665,8.595868055555556,6.554846380471381,7.160773467432951,9.47568287037037
7.289162037037038,8.765808738425926,8.606412037037037,4.270287571225071,9.419791666666665,8.595868055555556,6.477744107744107,7.159597701149425,9.501493055555555
7.289162037037038,8.719849537037037,8.573814814814815,4.217835648148148,9.406041666666667,8.47857638888889,6.3707554713804715,7.201137452107281,9.523726851851853
7.289162037037038,8.7444140625,8.538662037037037,4.2596554487179485,9.406041666666667,8.171753472222221,6.236534090909092,7.191071200510856,9.516018518518518
7.255912037037037,8.795568576388888,8.550200925925926,4.2665625,9.419374999999999,8.05279513888889,6.402102272727273,7.205721583652619,9.515671296296297
7.268037037037038,8.789483506944444,8.514191666666667,4.1658057336182335,9.421249999999999,8.037534722222222,6.545195707070707,7.142923850574713,9.522928240740741
7.2829953703703705,8.761692708333333,8.515180555555556,4.129651887464387,9.421249999999999,8.11451388888889,6.655763888888888,7.157049808429119,9.525324074074073
7.2829953703703705,8.721135706018519,8.522760185185184,4.449055377492877,9.421249999999999,8.218680555555556,6.86297558922559,7.1524082056194125,9.518125
7.268925925925926,8.675697337962964,8.47960462962963,4.396763710826211,9.421249999999999,8.227586805555557,6.885589225589226,7.139276021711367,9.521261574074073
7.20588425925926,8.6046875,8.381528703703703,4.362112713675214,9.453020833333333,8.325034722222224,6.844941077441078,7.068944763729246,9.497743055555555
7.022134259259259,8.6022265625,8.34152037037037,4.2842548076923075,9.453020833333333,8.584565972222222,6.521607744107744,7.017304438058748,9.499097222222222
6.909115740740741,8.579858217592593,8.249253703703705,4.144217414529915,9.488020833333334,8.697118055555556,6.3952925084175085,6.958935185185186,9.454131944444445
6.888740740740741,8.549827835648149,8.22782037037037,4.079206730769231,9.355833333333333,8.58373263888889,6.472565235690237,6.916293901660281,9.455069444444444
7.0257407407407415,8.432866030092592,8.306122222222223,3.9262366452991455,9.398229166666667,8.638553240740741,6.356393097643098,6.794806034482758,9.425034722222222
7.028449074074073,8.38504050925926,8.337108333333333,3.8815731837606835,9.554479166666667,8.836469907407407,6.293640572390572,6.778182471264368,9.391354166666666
6.691115740740742,8.42234519675926,8.252464814814815,3.887240918803419,9.684791666666666,8.683813657407407,6.342744107744108,6.56312659642401,9.384062499999999
6.586449074074073,8.369636863425926,8.16708425925926,3.75551014957265,9.407291666666667,8.74308449074074,5.982504208754208,6.53246567688378,9.376412037037037
