East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
8.852087596879505,6.459598382053453,7.9010835940807285,7.636111401037686,9.63808694075056,8.11184275398069,7.202787010919442,6.5438786187859055,9.410004446725125
9.038270782054356,7.360433607815214,8.13721402643634,7.864298333672803,9.216452424247302,8.111214902163653,6.863423848858051,6.612321633255524,9.388403231405386
9.160383024181817,7.9031277875464605,8.188890390570878,7.899412269971003,9.279325654262921,8.058309038225108,6.754840439121815,6.639255502437568,9.426453717434924
9.240838432263493,8.136259807223613,7.869783459200143,8.055399417364587,9.311080299010232,8.019315459915116,6.9773801807251,6.73844444287955,9.387205524997603
9.267890135875229,8.366090169198436,7.864353180257744,8.036115748363788,9.346689932117947,8.081365131476655,6.946060703909146,6.843981164783772,9.522283014218125
9.396961865592264,8.58236374605502,8.050569942109139,8.089483224968484,9.728426045618141,8.3360692698304,6.97661554197399,6.778784693267359,9.499086936960044
9.368477340667402,8.555486074934747,8.06034334037232,8.169903803125715,9.666003005509117,8.209146648195388,6.883511872528752,6.8804627552948885,9.407705317741598
9.340878245576302,8.642736208814458,8.02421576026432,8.214921331126403,9.50793842357473,8.138818390007573,6.8968320799581155,6.9678145993515335,9.476486649577623
9.262750049767305,8.637575480047689,7.883628994809851,8.038925455547416,9.508177234714815,7.942486227160805,6.6784077463125975,6.739203007816325,9.373745989042385
9.319876029111407,8.865277212127543,8.099329381595675,7.996597754935946,9.607301301201106,8.144250627679721,6.9134207445136155,6.804232764424399,9.366005682761305
9.3146222155043,8.959079306671416,8.110038800579929,8.075353370107639,9.317453762702746,8.23993102549916,7.096921428645914,7.006450929153959,9.401544362707206
9.252822398439438,9.055807233752923,8.120021858885586,8.206032885928401,9.044769108788412,8.19036586868054,7.080892212290979,7.024984520355348,9.409645097257286
9.278493878551306,9.088555438683258,8.163673612539654,8.185596812194463,9.22924220821965,8.377766951568933,7.169752259943261,7.096771109930236,9.416322381445978
9.340364107418484,9.037656922185507,8.166736409522404,8.11614118573974,9.326125601162872,8.346855647407391,7.593281601987375,7.256263694489958,9.510598873394029
9.315609463150547,9.097163719746122,8.148721634550862,8.259862711320116,9.652564558424839,8.444561442439333,7.690800866051441,7.353134269151836,9.553191584974078
9.379534971368534,9.00689058231083,8.251441255490308,7.9867127462851535,9.709646458048091,8.09467181522517,8.018743170441162,7.3871654427698905,9.407234282002555
9.433180504712904,9.065184341955558,8.327977691051943,8.127440507192379,9.687698350915195,8.133872184108593,7.989154080058113,7.569497076574637,9.526832419380485
9.446390847580323,8.962199743802884,8.382504916302763,8.070924908401786,9.671199488637605,8.136277338385296,8.059021485336263,7.490069182228645,9.383838920340505
9.455938748101078,9.113247355393078,8.426701047947565,8.273802889508683,9.675594234105263,8.171316225484388,8.09121599394607,7.5095225542194655,9.474957825200645
9.45194435912222,9.137397400771665,8.45283537091992,8.060831196824802,9.673578229885255,8.245360675231924,8.055854991375126,7.422870704667278,9.502416143928023
9.431009639649233,9.049078701474599,8.31749874569563,8.268918562274699,9.572022804382167,8.238680041897236,8.124011122281857,7.336216833417763,9.344868731011369
