,countries,region,pf_religion_2008,pf_religion_2019,diff_pf_religion
89,Mozambique,Sub-Saharan Africa,8.94,8.92,-0.019999999999999574
55,Honduras,Latin America & the Caribbean,9.67,9.66,-0.009999999999999787
103,Papua New Guinea,Oceania,9.73,9.73,0.0
66,Japan,East Asia,9.56,9.56,0.0
81,Malta,Western Europe,9.76,9.76,0.0
13,Belize,Latin America & the Caribbean,10.0,10.0,0.0
136,Uruguay,Latin America & the Caribbean,9.77,9.77,0.0
76,Luxembourg,Western Europe,9.67,9.67,0.0
94,New Zealand,Oceania,9.89,9.89,0.0
3,Argentina,Latin America & the Caribbean,9.85,9.86,0.009999999999999787
26,Chile,Latin America & the Caribbean,9.86,9.87,0.009999999999999787
128,Trinidad and Tobago,Latin America & the Caribbean,9.82,9.84,0.019999999999999574
20,Burkina Faso,Sub-Saharan Africa,9.26,9.29,0.02999999999999936
7,Azerbaijan,Caucasus & Central Asia,5.09,5.12,0.03000000000000025
34,Cyprus,Eastern Europe,8.91,8.95,0.03999999999999915
124,Taiwan,East Asia,9.86,9.9,0.040000000000000924
48,Germany,Western Europe,8.95,9.0,0.05000000000000071
112,Senegal,Sub-Saharan Africa,9.18,9.26,0.08000000000000007
98,North Macedonia,Eastern Europe,8.33,8.42,0.08999999999999986
109,Romania,Eastern Europe,8.86,8.95,0.08999999999999986
80,Mali,Sub-Saharan Africa,8.97,9.06,0.08999999999999986
78,Malawi,Sub-Saharan Africa,9.37,9.46,0.09000000000000163
65,Jamaica,Latin America & the Caribbean,9.75,9.85,0.09999999999999964
11,Barbados,Latin America & the Caribbean,9.8,9.9,0.09999999999999964
70,"Korea, Rep.",East Asia,9.78,9.89,0.11000000000000121
64,Italy,Western Europe,9.09,9.21,0.120000000000001
63,Israel,Middle East & North Africa,9.09,9.22,0.13000000000000078
115,Singapore,South Asia,7.67,7.82,0.15000000000000036
52,Guinea-Bissau,Sub-Saharan Africa,9.41,9.63,0.22000000000000064
71,Kuwait,Middle East & North Africa,5.93,6.19,0.2600000000000007
53,Guyana,Latin America & the Caribbean,9.34,9.72,0.3800000000000008
74,Lesotho,Sub-Saharan Africa,9.35,9.76,0.41000000000000014
77,Madagascar,Sub-Saharan Africa,8.08,8.55,0.47000000000000064
75,Lithuania,Eastern Europe,9.24,9.75,0.5099999999999998
32,Cote d'Ivoire,Sub-Saharan Africa,8.77,9.31,0.5400000000000009
4,Armenia,Caucasus & Central Asia,8.01,8.55,0.5400000000000009
1,Algeria,Middle East & North Africa,4.89,5.45,0.5600000000000005
42,Ethiopia,Sub-Saharan Africa,6.95,7.59,0.6399999999999997
73,Latvia,Eastern Europe,9.05,9.7,0.6499999999999986
105,Peru,Latin America & the Caribbean,9.09,9.77,0.6799999999999997
133,United Arab Emirates,Middle East & North Africa,5.72,6.43,0.71
43,Fiji,Oceania,7.84,8.57,0.7300000000000004
85,Moldova,Eastern Europe,7.45,8.2,0.7499999999999991
46,Gabon,Sub-Saharan Africa,8.74,9.59,0.8499999999999996
72,Kyrgyz Republic,Caucasus & Central Asia,6.26,7.21,0.9500000000000002
51,Guatemala,Latin America & the Caribbean,8.7,9.65,0.9500000000000011
79,Malaysia,South Asia,6.18,7.44,1.2600000000000007
90,Myanmar,South Asia,4.11,6.04,1.9299999999999997
8,"Bahamas, The",Latin America & the Caribbean,7.5,10.0,2.5
129,Tunisia,Middle East & North Africa,3.26,7.13,3.87
